,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,positiveRate,recent_positiveRate,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,school canceled,stay at home,pandemic declared
2419,2020-03-06,AK,0.0,8.0,1.0,,,,,,,,b95ff00414e9a5542ba2aa08fdfda0b023c7c69c,2020-03-06T21:00:00Z,,,9.0,8.0,8.0,2,,,,,,0.0,,9.0,4.0,10.0,9.0,0.0,1.0,False,False,False
2368,2020-03-07,AK,0.0,12.0,2.0,,,,,,,,71953eb42494f6000afda41cda80b1b3dc836a83,2020-03-07T21:00:00Z,,,14.0,12.0,12.0,2,0.0,0.0,4.0,0.0,4.0,0.0,0.0,12.0,10.0,17.0,9.0,3.0,-1.0,False,False,False
2317,2020-03-08,AK,0.0,14.0,6.0,,,,,,,,844624448b0ee3ff7dd240e0d3f4258de1563064,2020-03-08T20:00:00Z,,,20.0,14.0,14.0,2,0.0,0.0,2.0,0.0,2.0,0.0,0.0,13.0,8.0,34.0,9.0,2.0,-1.0,False,False,False
2266,2020-03-09,AK,0.0,23.0,9.0,,,,,,,,b5cbe627dd51a6e70136134185391030f93ffcb5,2020-03-09T20:00:00Z,,,32.0,23.0,23.0,2,0.0,0.0,9.0,0.0,9.0,0.0,0.0,7.0,4.0,14.0,3.0,-10.0,2.0,False,False,False
2215,2020-03-10,AK,0.0,23.0,9.0,,,,,,,,6561feac0f53ef762911b4995038df195c62b2cb,2020-03-10T20:00:00Z,,,32.0,23.0,23.0,2,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,6.0,11.0,2.0,-7.0,2.0,False,False,False
2164,2020-03-11,AK,0.0,46.0,14.0,,,,,,,,e25f7bc0f21f762541d825d606787c8b6be7b406,2020-03-11T20:00:00Z,,,60.0,46.0,46.0,2,0.0,0.0,23.0,0.0,23.0,0.0,0.0,12.0,9.0,16.0,3.0,-8.0,2.0,False,False,True
2113,2020-03-12,AK,0.0,46.0,14.0,,,,,,,,e6a2e85fdf548043d8e908d506c334dfa37b0982,2020-03-12T20:00:00Z,,,60.0,46.0,46.0,2,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,19.0,21.0,-1.0,-9.0,2.0,False,False,True
2062,2020-03-13,AK,1.0,59.0,,,,,,,,,f912dbdc1e4737b9efd9715f5c60bc397601b547,2020-03-13T20:00:00Z,,,60.0,60.0,60.0,2,0.0,0.0,13.0,1.0,14.0,0.016666666666666666,0.07142857142857142,7.0,19.0,16.0,0.0,-10.0,3.0,False,False,True
2011,2020-03-14,AK,1.0,143.0,,,,,,,,,d6e6e61fb8c0d1c2340d7df1983d63227e4dfe0d,2020-03-14T20:00:00Z,,,144.0,144.0,144.0,2,0.0,0.0,84.0,0.0,84.0,0.006944444444444444,0.0,0.0,19.0,37.0,1.0,-1.0,1.0,False,False,True
1960,2020-03-15,AK,1.0,143.0,,,,,,,,,60c27932a683c3682cf48a12a0e94b719a58f853,2020-03-15T20:00:00Z,,,144.0,144.0,144.0,2,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,,5.0,14.0,58.0,7.0,-1.0,0.0,False,False,True
1904,2020-03-16,AK,1.0,143.0,,,,,,,,,55b0b029eac24362c03262d39c1daf9fd34c4e6d,2020-03-16T20:00:00Z,,,144.0,144.0,144.0,2,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,,1.0,20.0,29.0,-6.0,-12.0,4.0,True,False,True
1848,2020-03-17,AK,3.0,334.0,,,,,,,,,c1859e4b0fcf9f53476595916f4e354d9cdddd40,2020-03-17T20:00:00Z,,,337.0,337.0,337.0,2,0.0,0.0,191.0,2.0,193.0,0.008902077151335312,0.010362694300518135,-14.0,8.0,12.0,-12.0,-15.0,7.0,True,False,True
1792,2020-03-18,AK,6.0,406.0,,,,,,,,,9a4073089834406984fd876567aa45194de3d9d7,2020-03-18T20:00:00Z,,,412.0,412.0,412.0,2,0.0,0.0,72.0,3.0,75.0,0.014563106796116505,0.04,-19.0,8.0,6.0,-12.0,-21.0,9.0,True,False,True
1736,2020-03-19,AK,6.0,432.0,,,,,,,,,5cc91902e24fad7f218a89c4d57c03ceaf0546ed,2020-03-19T20:00:00Z,,,438.0,438.0,438.0,2,0.0,0.0,26.0,0.0,26.0,0.0136986301369863,0.0,-26.0,4.0,15.0,-21.0,-25.0,10.0,True,False,True
1680,2020-03-20,AK,12.0,686.0,,,,,,,,,19aa2fa5c05198d53bfc983c6a895fd277ac1170,2020-03-20T20:00:00Z,,,698.0,698.0,698.0,2,0.0,0.0,254.0,6.0,260.0,0.017191977077363897,0.023076923076923078,-28.0,3.0,23.0,-24.0,-25.0,12.0,True,False,True
1624,2020-03-21,AK,14.0,758.0,,,0.0,,,,,,b050951c91b95024044c0e9cd3260ade47c193bd,2020-03-21T20:00:00Z,,0.0,772.0,772.0,772.0,2,0.0,0.0,72.0,2.0,74.0,0.018134715025906734,0.02702702702702703,-37.0,-1.0,1.0,-25.0,-20.0,8.0,True,False,True
1568,2020-03-22,AK,22.0,946.0,,,0.0,,,,,,504bd8c46a81250111c4f843793c7109a771b3c1,2020-03-22T20:00:00Z,,0.0,968.0,968.0,968.0,2,0.0,0.0,188.0,8.0,196.0,0.022727272727272728,0.04081632653061224,-30.0,-4.0,65.0,-30.0,-21.0,6.0,True,False,True
1512,2020-03-23,AK,22.0,946.0,,,0.0,,,,,,5b877bb95cb6757628e204dc5d905269b0adeb80,2020-03-23T20:00:00Z,,0.0,968.0,968.0,968.0,2,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,,-36.0,-11.0,23.0,-37.0,-35.0,14.0,True,False,True
1456,2020-03-24,AK,36.0,986.0,,,0.0,,,,,,86d9a09be1d74e12fd125a0d9309b80ca0cdd92d,2020-03-24T20:00:00Z,,0.0,1022.0,1022.0,1022.0,2,0.0,0.0,40.0,14.0,54.0,0.03522504892367906,0.25925925925925924,-37.0,-12.0,17.0,-39.0,-39.0,16.0,True,False,True
1400,2020-03-25,AK,42.0,1649.0,,,1.0,,,,,,d0981dc0ff9e0b50793d2307ce11831905ea3c01,2020-03-25T20:00:00Z,1.0,1.0,1691.0,1691.0,1691.0,2,1.0,1.0,663.0,6.0,669.0,0.024837374334713187,0.008968609865470852,-40.0,-15.0,6.0,-42.0,-41.0,18.0,True,False,True
1344,2020-03-26,AK,59.0,1801.0,,,3.0,,,,,,141c8e163d64a2762eb6ce6fab3863ab853929a4,2020-03-26T20:00:00Z,1.0,3.0,1860.0,1860.0,1860.0,2,0.0,2.0,152.0,17.0,169.0,0.031720430107526884,0.10059171597633136,-40.0,-13.0,31.0,-42.0,-42.0,17.0,True,False,True
1288,2020-03-27,AK,69.0,2319.0,13.0,,3.0,,,,,,4440492623bf23f8e264cde045f01820bcf5eb1f,2020-03-27T20:00:00Z,1.0,3.0,2401.0,2388.0,2388.0,2,0.0,0.0,518.0,10.0,528.0,0.028894472361809045,0.01893939393939394,-42.0,-15.0,2.0,-50.0,-40.0,19.0,True,False,True
1232,2020-03-28,AK,85.0,2836.0,,,5.0,,,,,,8a84438657945de664a61b77351faf30fafb9111,2020-03-28T20:00:00Z,2.0,5.0,2921.0,2921.0,2921.0,2,1.0,2.0,517.0,16.0,533.0,0.02909962341663814,0.0300187617260788,-47.0,-15.0,11.0,-50.0,-30.0,11.0,True,True,True
1176,2020-03-29,AK,102.0,3232.0,,,6.0,,,,,,422bc4f921be7a7ead06e6f738314ef1911a8407,2020-03-29T20:00:00Z,2.0,6.0,3334.0,3334.0,3334.0,2,0.0,1.0,396.0,17.0,413.0,0.03059388122375525,0.04116222760290557,-48.0,-27.0,18.0,-55.0,-33.0,10.0,True,True,True
1120,2020-03-30,AK,114.0,3540.0,,,7.0,,,,,,98553897a21c05aeec18d5391001f5bdb25eb44e,2020-03-30T20:00:00Z,3.0,7.0,3654.0,3654.0,3654.0,2,1.0,1.0,308.0,12.0,320.0,0.031198686371100164,0.0375,-40.0,-17.0,15.0,-49.0,-46.0,18.0,True,True,True
1064,2020-03-31,AK,119.0,3594.0,,,7.0,,,,,,5ec8d7c9ede0e8d30b6f7b63be047ac0ead0b49b,2020-03-31T20:00:00Z,3.0,7.0,3713.0,3713.0,3713.0,2,0.0,0.0,54.0,5.0,59.0,0.03204955561540533,0.0847457627118644,-37.0,-15.0,15.0,-45.0,-44.0,18.0,True,True,True
1008,2020-04-01,AK,133.0,4470.0,,,9.0,,,,,,28dfb9b2615a8df04f8c622ad2fb590a6f7da833,2020-04-01T20:00:00Z,3.0,9.0,4603.0,4603.0,4603.0,2,0.0,2.0,876.0,14.0,890.0,0.028894199435150987,0.015730337078651686,-35.0,-8.0,3.0,-43.0,-44.0,18.0,True,True,True
952,2020-04-02,AK,143.0,4879.0,,,9.0,,,,,,87a29f5de0e12ea1b772006bfa38cdee3327489e,2020-04-02T20:00:00Z,3.0,9.0,5022.0,5022.0,5022.0,2,0.0,0.0,409.0,10.0,419.0,0.028474711270410194,0.02386634844868735,-42.0,-14.0,-3.0,-50.0,-45.0,19.0,True,True,True
896,2020-04-03,AK,157.0,5859.0,,,15.0,,,,,,192f851a8f9b68576ed308814322d1333b538699,2020-04-03T20:00:00Z,3.0,15.0,6016.0,6016.0,6016.0,2,0.0,6.0,980.0,14.0,994.0,0.026097074468085107,0.014084507042253521,-42.0,-14.0,2.0,-47.0,-43.0,20.0,True,True,True
840,2020-04-04,AK,171.0,5869.0,,,16.0,,,,,,10a0cf7d2d88dce27674dda730950a2661caa4b0,2020-04-04T20:00:00Z,5.0,16.0,6040.0,6040.0,6040.0,2,2.0,1.0,10.0,14.0,24.0,0.028311258278145696,0.5833333333333334,-47.0,-14.0,21.0,-50.0,-32.0,12.0,True,True,True
784,2020-04-05,AK,185.0,6099.0,,,20.0,,,,,,661d7b0f627847a2dceb5d70d4e9260965031cc2,2020-04-05T20:00:00Z,6.0,20.0,6284.0,6284.0,6284.0,2,1.0,4.0,230.0,14.0,244.0,0.029439847231063018,0.05737704918032787,-41.0,-17.0,29.0,-52.0,-32.0,9.0,True,True,True
728,2020-04-06,AK,191.0,6692.0,,,23.0,,,,,,4d91929ba83b31e1dda30ca4a3c7d5716d39bfd7,2020-04-06T20:00:00Z,6.0,23.0,6883.0,6883.0,6883.0,2,0.0,3.0,593.0,6.0,599.0,0.027749527822170564,0.01001669449081803,-37.0,-15.0,1.0,-49.0,-44.0,17.0,True,True,True
672,2020-04-07,AK,213.0,6700.0,,,23.0,,,,,29.0,427f23b794025bcc59ba746dc6721ba1ae4f6ff9,2020-04-07T20:00:00Z,6.0,23.0,6913.0,6913.0,6913.0,2,0.0,0.0,8.0,22.0,30.0,0.03081151453782728,0.7333333333333333,-38.0,-16.0,1.0,-48.0,-44.0,18.0,True,True,True
616,2020-04-08,AK,226.0,6842.0,,,27.0,,,,,32.0,b06950cbd3502f7885c9412d1bf698858848a4d7,2020-04-08T20:00:00Z,7.0,27.0,7068.0,7068.0,7068.0,2,1.0,4.0,142.0,13.0,155.0,0.03197509903791738,0.08387096774193549,-38.0,-14.0,7.0,-49.0,-44.0,18.0,True,True,True
560,2020-04-09,AK,235.0,6988.0,,,27.0,,,,,49.0,b25c4a1e5bb964d05142022307f57e41e0872f26,2020-04-09T20:00:00Z,7.0,27.0,7223.0,7223.0,7223.0,2,0.0,0.0,146.0,9.0,155.0,0.03253495777377821,0.05806451612903226,-38.0,-12.0,19.0,-48.0,-44.0,18.0,True,True,True
504,2020-04-10,AK,246.0,7186.0,,,28.0,,,,,55.0,f72f6232f47812a602059afa4d5f4d698726aa3b,2020-04-10T20:00:00Z,7.0,28.0,7432.0,7432.0,7432.0,2,0.0,1.0,198.0,11.0,209.0,0.03310010764262648,0.05263157894736842,-40.0,-10.0,28.0,-49.0,-44.0,19.0,True,True,True
448,2020-04-11,AK,257.0,7475.0,,,31.0,,,,,63.0,a8d36e9ce19edaeaac989881abf96fc74196efba,2020-04-11T20:00:00Z,8.0,31.0,7732.0,7732.0,7732.0,2,1.0,3.0,289.0,11.0,300.0,0.03323848939472323,0.03666666666666667,-41.0,-4.0,36.0,-52.0,-32.0,10.0,True,True,True
392,2020-04-12,AK,272.0,7766.0,,,31.0,,,,,66.0,5f686eece203e247c3bfb219c664517920d7c141,2020-04-12T20:00:00Z,8.0,31.0,8038.0,8038.0,8038.0,2,0.0,0.0,291.0,15.0,306.0,0.033839263498382684,0.049019607843137254,,,,,,,True,True,True
336,2020-04-13,AK,277.0,7553.0,,,32.0,,,,,85.0,67560e7c63366eea20aa9e68ec2f1d41b712ce9a,2020-04-13T20:00:00Z,8.0,32.0,7830.0,7830.0,7830.0,2,0.0,1.0,-213.0,5.0,-208.0,0.03537675606641124,-0.02403846153846154,,,,,,,True,True,True
280,2020-04-14,AK,285.0,8063.0,,,32.0,,,,,98.0,5315a4f1841f006de941785d317d4bb3057063e2,2020-04-14T20:00:00Z,9.0,32.0,8348.0,8348.0,8348.0,2,1.0,0.0,510.0,8.0,518.0,0.03413991375179684,0.015444015444015444,,,,,,,True,True,True
224,2020-04-15,AK,293.0,8371.0,,,34.0,,,,,106.0,673f84f2ad0944b787570c22a3fa5081f0dee21a,2020-04-15T20:00:00Z,9.0,34.0,8664.0,8664.0,8664.0,2,0.0,2.0,308.0,8.0,316.0,0.033818097876269625,0.02531645569620253,,,,,,,True,True,True
168,2020-04-16,AK,300.0,8435.0,,,35.0,,,,,110.0,42353f78693987154276c7c482342a46ec11c180,2020-04-16T20:00:00Z,9.0,35.0,8735.0,8735.0,8735.0,2,0.0,1.0,64.0,7.0,71.0,0.03434459072696051,0.09859154929577464,,,,,,,True,True,True
112,2020-04-17,AK,309.0,9141.0,,,36.0,,,,,128.0,c3c164894704f8aebee11fc4f6ad0bc28ccd9bcd,2020-04-17T20:00:00Z,9.0,36.0,9450.0,9450.0,9450.0,2,0.0,1.0,706.0,9.0,715.0,0.0326984126984127,0.012587412587412588,,,,,,,True,True,True
56,2020-04-18,AK,314.0,9341.0,,39.0,36.0,,,,,147.0,e01d04c1608f52dc596ef6e9cde32427d3da59b7,2020-04-18T20:00:00Z,9.0,36.0,9655.0,9655.0,9655.0,2,0.0,0.0,200.0,5.0,205.0,0.032522009321595026,0.024390243902439025,,,,,,,True,True,True
0,2020-04-19,AK,319.0,9576.0,,37.0,36.0,,,,,153.0,a55d5f5198d699a8859e16fc9fa49cbecbc61939,2020-04-19T20:00:00Z,9.0,36.0,9895.0,9895.0,9895.0,2,0.0,0.0,235.0,5.0,240.0,0.03223850429509854,0.020833333333333332,,,,,,,True,True,True
2369,2020-03-07,AL,0.0,,,,,,,,,,1d94a3b00af81e57b35a00c0eeaa339ec76d962a,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,1,,,,,,,,12.0,8.0,63.0,18.0,7.0,-2.0,False,False,False
2318,2020-03-08,AL,0.0,,,,,,,,,,dc8486565b986e301a3cb52dda7d6014007253e4,2020-03-08T20:00:00Z,,,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,12.0,8.0,55.0,20.0,3.0,-1.0,False,False,False
2267,2020-03-09,AL,0.0,,,,,,,,,,3c15dbef6838aa05f46554b8f49c5d96677df531,2020-03-09T20:00:00Z,,,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,10.0,8.0,45.0,9.0,2.0,-1.0,False,False,False
2216,2020-03-10,AL,0.0,0.0,0.0,,,,,,,,d77d1bec988a8d98086652dbe2ec43647b585934,2020-03-10T20:00:00Z,,,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,9.0,8.0,21.0,4.0,1.0,0.0,False,False,False
2165,2020-03-11,AL,0.0,10.0,,,,,,,,,e4593577708b6182b9126434908df283def67838,2020-03-11T20:00:00Z,,,10.0,10.0,10.0,1,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,8.0,27.0,7.0,1.0,-1.0,False,False,True
2114,2020-03-12,AL,0.0,10.0,,,,,,,,,34204c36040e342af491e5329aca50e88f2cbaba,2020-03-12T20:00:00Z,,,10.0,10.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,22.0,43.0,8.0,1.0,-1.0,False,False,True
2063,2020-03-13,AL,1.0,11.0,,,,,,,,,b9e856f0b5f6b1893dbe080ee99cbebd5723f4f8,2020-03-13T20:00:00Z,,,12.0,12.0,12.0,1,0.0,0.0,1.0,1.0,2.0,0.08333333333333333,0.5,7.0,32.0,26.0,7.0,-2.0,0.0,False,False,True
2012,2020-03-14,AL,6.0,22.0,46.0,,,,,,,,5c89c1e4d5be4e39281e7629e2d8969f9d54bb00,2020-03-14T20:00:00Z,,,74.0,28.0,28.0,1,0.0,0.0,11.0,5.0,16.0,0.21428571428571427,0.3125,1.0,28.0,55.0,12.0,4.0,0.0,False,False,True
1961,2020-03-15,AL,12.0,28.0,46.0,,,,,,,,bc792edfeb4365aed8c64e6ff682049380018d28,2020-03-15T20:00:00Z,0.0,,86.0,40.0,40.0,1,0.0,0.0,6.0,6.0,12.0,0.3,0.5,-7.0,16.0,16.0,6.0,-4.0,2.0,False,False,True
1905,2020-03-16,AL,28.0,28.0,40.0,,,,,,,,3efe0ea61bb6932f1d608f9e24d38fcafaa2c04c,2020-03-16T20:00:00Z,0.0,,96.0,56.0,56.0,1,0.0,0.0,0.0,16.0,16.0,0.5,1.0,-2.0,24.0,22.0,2.0,-10.0,4.0,False,False,True
1849,2020-03-17,AL,36.0,28.0,,,,,,,,,27d195514d6511642ecafb4148f51bd1cf06894d,2020-03-17T20:00:00Z,0.0,,64.0,64.0,64.0,1,0.0,0.0,0.0,8.0,8.0,0.5625,1.0,-11.0,17.0,25.0,-1.0,-17.0,7.0,False,False,True
1793,2020-03-18,AL,46.0,28.0,,,,,,,,,45a12e7b90dfc3888e7a67b4f579327e80d6dee0,2020-03-18T20:00:00Z,0.0,,74.0,74.0,74.0,1,0.0,0.0,0.0,10.0,10.0,0.6216216216216216,1.0,-13.0,13.0,39.0,-3.0,-22.0,8.0,False,False,True
1737,2020-03-19,AL,68.0,28.0,,,,,,,,,cab25ff0e7f7b888b8cba2df5c54273cad43f3ca,2020-03-19T20:00:00Z,0.0,,96.0,96.0,96.0,1,0.0,0.0,0.0,22.0,22.0,0.7083333333333334,1.0,-20.0,15.0,27.0,-8.0,-25.0,10.0,True,False,True
1681,2020-03-20,AL,81.0,28.0,,,,,,,,,6bbe154eecf958487c0256f6d6b95eae55c038d8,2020-03-20T20:00:00Z,0.0,,109.0,109.0,109.0,1,0.0,0.0,0.0,13.0,13.0,0.7431192660550459,1.0,-27.0,10.0,7.0,-14.0,-29.0,14.0,True,False,True
1625,2020-03-21,AL,124.0,28.0,,,,,,,,,de15c7bdfb3b72e13399f1aaa8d69612f69f0837,2020-03-21T20:00:00Z,0.0,,152.0,152.0,152.0,1,0.0,0.0,0.0,43.0,43.0,0.8157894736842105,1.0,-35.0,5.0,10.0,-13.0,-16.0,8.0,True,False,True
1569,2020-03-22,AL,138.0,1464.0,,,,,,,,,336c2b990aa3df11f73436c012fb53a71c5b36fd,2020-03-22T20:00:00Z,0.0,,1602.0,1602.0,1602.0,1,0.0,0.0,1436.0,14.0,1450.0,0.08614232209737828,0.009655172413793104,-40.0,-7.0,2.0,-22.0,-27.0,9.0,True,False,True
1513,2020-03-23,AL,167.0,1665.0,,,,,,,,,83712877a917de925fb93de8aaa8443850e13f5e,2020-03-23T20:00:00Z,0.0,,1832.0,1832.0,1832.0,1,0.0,0.0,201.0,29.0,230.0,0.09115720524017468,0.12608695652173912,-33.0,-6.0,-11.0,-22.0,-33.0,14.0,True,False,True
1457,2020-03-24,AL,215.0,2106.0,,,,,,,,,c212a8468e01e67b91f78d053b0440276641d84f,2020-03-24T20:00:00Z,0.0,,2321.0,2321.0,2321.0,1,0.0,0.0,441.0,48.0,489.0,0.0926324859974149,0.09815950920245399,-32.0,-5.0,4.0,-18.0,-34.0,15.0,True,False,True
1401,2020-03-25,AL,283.0,2529.0,,,,,,,,,2f45607dc8271295dd36e91588d93ebaa1bc3110,2020-03-25T20:00:00Z,0.0,,2812.0,2812.0,2812.0,1,0.0,0.0,423.0,68.0,491.0,0.10064011379800854,0.1384928716904277,-28.0,-4.0,36.0,-15.0,-36.0,13.0,True,False,True
1345,2020-03-26,AL,506.0,3593.0,,,,,,,,,fbb44aa6b758e39d9ca03edb761c2463bc6d09e7,2020-03-26T20:00:00Z,1.0,,4099.0,4099.0,4099.0,1,1.0,0.0,1064.0,223.0,1287.0,0.12344474262015126,0.17327117327117328,-30.0,-3.0,32.0,-19.0,-36.0,14.0,True,False,True
1289,2020-03-27,AL,587.0,4184.0,,,,,,,,,07d7df62adf5e730a3da751291c1fba471551397,2020-03-27T20:00:00Z,3.0,,4771.0,4771.0,4771.0,1,2.0,0.0,591.0,81.0,672.0,0.12303500314399497,0.12053571428571429,-30.0,-2.0,30.0,-24.0,-37.0,16.0,True,False,True
1233,2020-03-28,AL,696.0,4184.0,,,,,,,,,63de5e074e982530fe275d036c8318c14eabf49f,2020-03-28T20:00:00Z,3.0,,4880.0,4880.0,4880.0,1,0.0,0.0,0.0,109.0,109.0,0.14262295081967213,1.0,-36.0,-2.0,22.0,-25.0,-22.0,9.0,True,False,True
1177,2020-03-29,AL,806.0,4184.0,,,,,,,,,0c2a7ece10172b9bd60b53579fd6d9a53f5e9f03,2020-03-29T20:00:00Z,4.0,,4990.0,4990.0,4990.0,1,1.0,0.0,0.0,110.0,110.0,0.16152304609218437,1.0,-41.0,-13.0,19.0,-30.0,-32.0,9.0,True,False,True
1121,2020-03-30,AL,859.0,5694.0,,,,,,,,,4552863c924f79edb83615e6b3642696b80a83cf,2020-03-30T20:00:00Z,6.0,,6553.0,6553.0,6553.0,1,2.0,0.0,1510.0,53.0,1563.0,0.13108499923699068,0.03390914907229686,-33.0,-10.0,10.0,-25.0,-38.0,14.0,True,False,True
1065,2020-03-31,AL,981.0,6298.0,,,,,,,,,42eecba7755e229592355c2a117a0c76245f655a,2020-03-31T20:00:00Z,13.0,,7279.0,7279.0,7279.0,1,7.0,0.0,604.0,122.0,726.0,0.1347712597884325,0.16804407713498623,-36.0,-11.0,-23.0,-26.0,-40.0,17.0,True,False,True
1009,2020-04-01,AL,1077.0,6697.0,,,,,,,,,9bd398e733a5ca5042bde1fd8ce2831fc248b0b1,2020-04-01T20:00:00Z,26.0,,7774.0,7774.0,7774.0,1,13.0,0.0,399.0,96.0,495.0,0.13853871880627733,0.19393939393939394,-25.0,5.0,19.0,-20.0,-39.0,14.0,True,False,True
953,2020-04-02,AL,1233.0,7503.0,,,,,,,,,1a78d31c95bd0d315fc61461107fcd8c66e53b43,2020-04-02T20:00:00Z,32.0,,8736.0,8736.0,8736.0,1,6.0,0.0,806.0,156.0,962.0,0.1411401098901099,0.16216216216216217,-32.0,3.0,12.0,-25.0,-39.0,16.0,True,False,True
897,2020-04-03,AL,1432.0,8187.0,,,,,,,,,2321b8fce440dd33ac0feef0e923113ffffbf603,2020-04-03T20:00:00Z,35.0,,9619.0,9619.0,9619.0,1,3.0,0.0,684.0,199.0,883.0,0.14887202411893127,0.22536806342015855,-29.0,12.0,17.0,-29.0,-40.0,16.0,True,False,True
841,2020-04-04,AL,1580.0,9273.0,,,212.0,,,,,,963802ea3a71c8b5d74fec7b17f1fb98e9547168,2020-04-04T20:00:00Z,43.0,212.0,10853.0,10853.0,10853.0,1,8.0,212.0,1086.0,148.0,1234.0,0.14558186676494977,0.11993517017828201,-41.0,8.0,4.0,-33.0,-26.0,11.0,True,True,True
785,2020-04-05,AL,1796.0,11282.0,,,231.0,,,,,,3f2c1f28926eeadf623d04aeb3716d29c5394d3c,2020-04-05T20:00:00Z,45.0,231.0,13078.0,13078.0,13078.0,1,2.0,19.0,2009.0,216.0,2225.0,0.13732986695213337,0.09707865168539326,-50.0,-18.0,-1.0,-40.0,-36.0,12.0,True,True,True
729,2020-04-06,AL,1968.0,12797.0,,,240.0,,,,,,2efa35d0a2dc1dac3c6e12ced852169b719f14ea,2020-04-06T20:00:00Z,50.0,240.0,14765.0,14765.0,14765.0,1,5.0,9.0,1515.0,172.0,1687.0,0.13328818151032848,0.1019561351511559,-37.0,-10.0,3.0,-29.0,-41.0,16.0,True,True,True
673,2020-04-07,AL,2119.0,12797.0,,,271.0,,,,,,bc437164edce7423a9a6a0095632666a06d512c4,2020-04-07T20:00:00Z,56.0,271.0,14916.0,14916.0,14916.0,1,6.0,31.0,0.0,151.0,151.0,0.14206221507106462,1.0,-39.0,-11.0,-15.0,-31.0,-42.0,18.0,True,True,True
617,2020-04-08,AL,2369.0,16753.0,,,314.0,,,,,,d7c974f24aac9af8f039f0c9d4627e059267b4a1,2020-04-08T20:00:00Z,66.0,314.0,19122.0,19122.0,19122.0,1,10.0,43.0,3956.0,250.0,4206.0,0.12388871456960569,0.05943889681407513,-36.0,-9.0,-1.0,-30.0,-43.0,17.0,True,True,True
561,2020-04-09,AL,2769.0,18058.0,,,333.0,,,,,,34ec8a688f0984d69a58ddef29d640ace6ee65bf,2020-04-09T20:00:00Z,74.0,333.0,20827.0,20827.0,20827.0,1,8.0,19.0,1305.0,400.0,1705.0,0.13295241753493062,0.23460410557184752,-35.0,-4.0,5.0,-31.0,-43.0,18.0,True,True,True
505,2020-04-10,AL,2968.0,18058.0,,,368.0,,,,,,deabcc53c679be6f942df9ba423a0d262ce45c5c,2020-04-10T20:00:00Z,80.0,368.0,21026.0,21026.0,21026.0,1,6.0,35.0,0.0,199.0,199.0,0.1411585655854656,1.0,-34.0,-4.0,4.0,-37.0,-48.0,20.0,True,True,True
449,2020-04-11,AL,3191.0,18058.0,,,402.0,,,,,,1fc42a3d2389569b3fd60bf6c3ba8d7c35c5a378,2020-04-11T20:00:00Z,91.0,402.0,21249.0,21249.0,21249.0,1,11.0,34.0,0.0,223.0,223.0,0.15017177278930774,1.0,-39.0,3.0,11.0,-35.0,-29.0,10.0,True,True,True
393,2020-04-12,AL,3525.0,18058.0,,,437.0,,189.0,,119.0,,a10003b9814203ba98d289480736cff0b00b4009,2020-04-12T20:00:00Z,93.0,437.0,21583.0,21583.0,21583.0,1,2.0,35.0,0.0,334.0,334.0,0.16332298568317657,1.0,,,,,,,True,True,True
337,2020-04-13,AL,3734.0,25448.0,,,457.0,,189.0,,119.0,,fa960b1ff153c2babf5a49ba770f497397565eba,2020-04-13T20:00:00Z,99.0,457.0,29182.0,29182.0,29182.0,1,6.0,20.0,7390.0,209.0,7599.0,0.1279555890617504,0.02750361889722332,,,,,,,True,True,True
281,2020-04-14,AL,3876.0,29241.0,,,493.0,,210.0,,132.0,,fdef67fc2526eb4972bb573db30ce225d2ac391e,2020-04-14T20:00:00Z,110.0,493.0,33117.0,33117.0,33117.0,1,11.0,36.0,3793.0,142.0,3935.0,0.11703958691910499,0.0360864040660737,,,,,,,True,True,True
225,2020-04-15,AL,4113.0,29964.0,,,525.0,,219.0,,134.0,,b67f0835fabad299a3701a2e6ba8f3214f60186b,2020-04-15T20:00:00Z,121.0,525.0,34077.0,34077.0,34077.0,1,11.0,32.0,723.0,237.0,960.0,0.1206972444757461,0.246875,,,,,,,True,True,True
